"id","session_id","session_position","not_skipped","topic","topic_name"
"1","0_0000a72b-09ac-412f-b452-9b9e79bded8f",1,0,5,"Rock_5"
"2","0_0000a72b-09ac-412f-b452-9b9e79bded8f",2,0,5,"Rock_5"
"3","0_0000a72b-09ac-412f-b452-9b9e79bded8f",3,0,5,"Rock_5"
"4","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",1,0,4,"NewRap_4"
"5","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",2,0,4,"NewRap_4"
"6","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",3,0,4,"NewRap_4"
"7","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",4,0,4,"NewRap_4"
"8","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",5,0,4,"NewRap_4"
"9","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",6,1,4,"NewRap_4"
"10","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",7,0,4,"NewRap_4"
"11","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",8,0,4,"NewRap_4"
"12","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",9,0,10,"Hiphop_10"
"13","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",10,0,4,"NewRap_4"
"14","0_00010fc5-b79e-4cdf-bc4c-f140d0f99a3a",11,0,4,"NewRap_4"
"15","0_00016a3d-9076-4f67-918f-f29e3ce160dc",1,0,14,"Country_14"
"16","0_00016a3d-9076-4f67-918f-f29e3ce160dc",2,0,14,"Country_14"
"17","0_00016a3d-9076-4f67-918f-f29e3ce160dc",3,1,14,"Country_14"
"18","0_00016a3d-9076-4f67-918f-f29e3ce160dc",4,0,14,"Country_14"
"19","0_00016a3d-9076-4f67-918f-f29e3ce160dc",5,0,14,"Country_14"
"20","0_00029482-6542-4d3e-bb9e-ffc988f58bd6",1,1,4,"NewRap_4"
"21","0_00029482-6542-4d3e-bb9e-ffc988f58bd6",2,1,4,"NewRap_4"
"22","0_0002fbb5-29c2-4d54-9636-e6d15e77b58c",1,0,6,"Spanish_6"
"23","0_0002fbb5-29c2-4d54-9636-e6d15e77b58c",2,1,6,"Spanish_6"
"24","0_0002fbb5-29c2-4d54-9636-e6d15e77b58c",3,1,6,"Spanish_6"
"25","0_00030fe3-298d-4930-8534-fc5a9b82971b",1,1,11,"Study_11"
"26","0_00030fe3-298d-4930-8534-fc5a9b82971b",2,1,0,"Indie_0"
"27","0_00030fe3-298d-4930-8534-fc5a9b82971b",3,1,12,"Summer_12"
"28","0_00030fe3-298d-4930-8534-fc5a9b82971b",4,1,12,"Summer_12"
"29","0_00030fe3-298d-4930-8534-fc5a9b82971b",5,1,3,"House_3"
"30","0_00030fe3-298d-4930-8534-fc5a9b82971b",6,0,9,"Chill_9"
"31","0_00030fe3-298d-4930-8534-fc5a9b82971b",7,0,12,"Summer_12"
"32","0_00030fe3-298d-4930-8534-fc5a9b82971b",8,0,12,"Summer_12"
"33","0_00030fe3-298d-4930-8534-fc5a9b82971b",9,1,0,"Indie_0"
"34","0_0003ac37-c70a-47a6-b9dc-b8b163826082",1,1,3,"House_3"
"35","0_0003ac37-c70a-47a6-b9dc-b8b163826082",2,0,14,"Country_14"
"36","0_0003ac37-c70a-47a6-b9dc-b8b163826082",3,0,15,"OldRap_15"
"37","0_0003ac37-c70a-47a6-b9dc-b8b163826082",4,1,15,"OldRap_15"
"38","0_0003ac37-c70a-47a6-b9dc-b8b163826082",5,0,15,"OldRap_15"
"39","0_0003ac37-c70a-47a6-b9dc-b8b163826082",6,1,3,"House_3"
"40","0_0003ac37-c70a-47a6-b9dc-b8b163826082",7,0,3,"House_3"
